,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
96,106,Mystery Rummy: Jack the Ripper,"['Card Game', 'Murder/Mystery']",45,2,4,10
98,108,TAMSK,"['Abstract Strategy', 'Real-time']",20,2,2,8
99,109,Wettstreit der Baumeister,['City Building'],45,3,4,10
100,110,Auf Achse,"['Economic', 'Movies / TV / Radio theme', 'Transportation']",60,2,6,8
101,111,Rheinländer,"['Abstract Strategy', 'Medieval', 'Territory Building']",45,3,5,12
102,112,Condottiere,"['Bluffing', 'Card Game', 'Medieval', 'Negotiation']",45,2,6,14
105,115,I'm the Boss!,['Negotiation'],60,3,6,12
106,116,Guillotine,"['Card Game', 'Humor', 'Napoleonic']",30,2,5,12
107,117,Ta Yü,['Abstract Strategy'],37.5,2,4,10
108,118,Modern Art,"['Card Game', 'Economic']",45,3,5,10
109,119,Kingdoms,"['Abstract Strategy', 'Fantasy', 'Medieval']",45,2,4,9
110,121,Dune,"['Bluffing', 'Fighting', 'Negotiation', 'Novel-based', 'Political', 'Science Fiction']",120.0,2,6,12
111,122,Quo Vadis?,"['Ancient', 'Negotiation', 'Political']",45,3,5,12
113,124,Primordial Soup,['Prehistoric'],90,3,4,12
114,125,Money!,['Card Game'],30,3,5,10
115,126,The Really Nasty Horse Racing Game,"['Animals', 'Racing']",90,2,6,12
116,127,Princess Ryan's Star Marines,"['Deduction', 'Science Fiction']",120,1,6,10
117,128,Take it Easy!,"['Abstract Strategy', 'Puzzle']",20,1,8,10
118,130,Iron Dragon,"['Fantasy', 'Trains', 'Transportation']",240,2,6,12
119,132,Caesar & Cleopatra,"['Ancient', 'Bluffing', 'Card Game']",60,2,2,10
121,134,Cape Horn,"['Nautical', 'Racing']",45,3,5,12
122,135,Kontor,"['City Building', 'Nautical', 'Renaissance']",60,2,4,12
124,137,Pass the Bomb,"['Electronic', 'Party Game', 'Real-time', 'Word Game']",20,2,10,12
126,140,Pit,"['Card Game', 'Economic', 'Party Game', 'Real-time']",60.0,3,8,7
127,141,Andromeda,"['Science Fiction', 'Space Exploration', 'Territory Building']",60,3,5,10
128,142,Vino,['Economic'],90,3,5,12
131,145,Metropolis,"['City Building', 'Negotiation']",90,2,5,16
132,146,Buy Low Sell High,['Economic'],60,2,4,12
133,147,Crude: The Oil Game,"['Economic', 'Industry / Manufacturing']",90,2,4,13
135,150,PitchCar,"['Action / Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']",30,2,8,6
136,151,Piratenbillard,"['Action / Dexterity', 'Pirates']",15,2,4,8
137,152,Mü & More,"['Card Game', 'Game System']",60,2,8,11
138,153,Take 5!,['Card Game'],60,2,6,10
140,155,Was sticht?,"['Card Game', 'Deduction']",60,3,4,12
141,156,Wildlife Adventure,"['Animals', 'Exploration', 'Transportation']",60,2,6,10
142,158,Elfengold,"['Expansion for Base-game', 'Fantasy', 'Transportation']",120,2,6,10
143,162,The Awful Green Things From Outer Space,"['Science Fiction', 'Wargame']",90,2,2,12
144,163,Balderdash,"['Bluffing', 'Party Game', 'Word Game']",60,2,6,12
145,164,"Before I Kill You, Mister Spy...","['Card Game', 'Spies/Secret Agents']",30,3,6,12
146,165,Black Box,"['Abstract Strategy', 'Deduction', 'Puzzle']",20,1,2,10
149,168,Empire Builder,"['Economic', 'Trains', 'Transportation']",180,2,6,12
150,169,En Garde,"['Card Game', 'Sports']",30,2,2,8
151,170,Family Business,"['Card Game', 'Mafia']",30,2,6,8
152,171,Chess,['Abstract Strategy'],60,2,2,6
153,172,For Sale,"['Card Game', 'Economic']",30,3,6,10
154,173,Formula Dé,"['Racing', 'Sports']",120,2,10,10
155,174,T-Rex,['Card Game'],45,3,5,10
156,175,Beat the Buzzard,"['Animals', 'Bluffing', 'Card Game']",20,2,5,7
157,176,Give Me the Brain!,"['Card Game', 'Zombies']",30,3,8,10
158,177,Advanced Civilization,"['Ancient', 'Civilization', 'Economic', 'Expansion for Base-game', 'Negotiation']",420.0,2,8,12
162,181,Risk,"['Territory Building', 'Wargame']",120,2,6,10
163,182,Hungry,"['Card Game', 'Medieval']",30,2,4,8
165,185,Devil Bunny Needs a Ham,"['Print & Play', 'Racing']",30,2,5,8
167,188,Go,['Abstract Strategy'],105.0,2,2,8
168,189,Die Siedler von Nürnberg,"['Medieval', 'Negotiation']",90,3,4,10
170,192,Nicht die Bohne!,['Card Game'],45,3,6,10
171,193,Fill or Bust,['Dice'],30,2,10,8
172,194,Groo: The Game,"['Card Game', 'City Building', 'Comic Book / Strip', 'Fantasy']",45,2,4,10
174,196,Kremlin,"['Negotiation', 'Political']",75,3,6,12
177,199,Manhattan,['City Building'],45,2,4,10
178,200,Entdecker,['Exploration'],60,2,4,10
179,201,The Rose King,"['Abstract Strategy', 'Medieval']",30,2,2,10
180,202,Targui,['Wargame'],120,2,4,12
182,204,Stephenson's Rocket,['Trains'],60,2,4,12
186,210,Don Pepe,"['Card Game', 'Mafia']",30,3,6,8
188,214,Café International,['Abstract Strategy'],52.5,2,4,10
189,215,Tichu,['Card Game'],60,4,4,10
190,216,Atlanteon,"['Abstract Strategy', 'Napoleonic']",30,2,2,12
191,217,A la carte,"['Action / Dexterity', 'Party Game']",30,2,4,13
192,218,High-Bid,['Negotiation'],25,2,4,12
194,220,High Society,['Card Game'],22.5,3,5,10
195,221,Ikusa,"['Civil War', 'Wargame']",300.0,2,5,12
196,222,Space Beans,"['Card Game', 'Science Fiction']",40,2,6,10
197,223,Expedition,"['Exploration', 'Transportation', 'Travel']",90,2,6,10
198,224,History of the World,"['Ancient', 'Civilization', 'Medieval', 'Renaissance', 'Wargame']",202.5,3,6,12
199,225,Icehouse,"['Abstract Strategy', 'Real-time']",20,3,5,8
201,227,Knightmare Chess,"['Abstract Strategy', 'Card Game']",60,2,2,10
202,228,Lunch Money,"['Card Game', 'Fighting']",20,2,4,13
203,229,King of the Elves,"['Card Game', 'Fantasy', 'Travel']",60,2,6,10
204,230,Merchant of Venus,"['Economic', 'Exploration', 'Science Fiction', 'Space Exploration', 'Transportation']",180,1,6,12
205,231,Geronimo,"['American Indian Wars', 'American West', 'Wargame']",480,1,5,12
206,234,Hannibal: Rome vs. Carthage,"['Ancient', 'Political', 'Wargame']",120.0,2,2,12
207,235,Blackbeard,"['Adventure', 'Age of Reason', 'Nautical', 'Pirates', 'Wargame']",180,1,4,12
208,237,Wooden Ships & Iron Men,"['Age of Reason', 'American Indian Wars', 'American Revolutionary War', 'Napoleonic', 'Nautical']",60,2,2,12
210,240,Britannia,"['Civilization', 'Medieval', 'Wargame']",240,3,5,12
211,241,Age of Exploration,"['Exploration', 'Renaissance']",180,1,6,14
212,242,Junta,"['Bluffing', 'Humor', 'Mafia', 'Negotiation', 'Political', 'Wargame']",240,2,7,16
213,243,Advanced Squad Leader,"['Wargame', 'World War II']",300.0,2,2,14
214,244,Circus Maximus,"['Ancient', 'Fighting', 'Racing']",120,2,8,12
216,247,Gloria Picktoria,['Card Game'],45,2,5,10
217,248,Blood Royale,"['Medieval', 'Negotiation', 'Political', 'Territory Building']",240,3,5,12
218,250,Colonial Diplomacy,"['Bluffing', 'Negotiation', 'Political', 'Post-Napoleonic', 'Territory Building', 'Wargame']",360,2,7,12
220,254,Empires in Arms,"['Economic', 'Napoleonic', 'Negotiation', 'Political', 'Wargame']",9000.0,2,7,14
222,256,Mississippi Queen,"['Nautical', 'Racing', 'Transportation']",45,3,5,10
223,257,Kill Doctor Lucky,"['Humor', 'Murder/Mystery']",45,3,8,12
224,258,Fluxx,['Card Game'],17.5,2,6,8
225,259,Atlantic Storm,"['Card Game', 'Nautical', 'World War II']",60,2,6,10
228,263,Manitou,['Card Game'],45,2,4,12
229,264,Enemy in Sight,"['American Revolutionary War', 'Card Game', 'Napoleonic', 'Nautical', 'Wargame']",120,2,8,10
230,265,Intrigue,"['Negotiation', 'Renaissance']",45,3,5,14
231,267,Tycoon,['Economic'],90,2,4,10
233,270,Svea Rike,"['Civilization', 'Economic']",120,2,5,12
234,271,It's Mine!,"['Card Game', 'Real-time']",30,3,5,7
237,274,Guerilla,"['Card Game', 'Political', 'Wargame']",60,3,6,10
240,277,Res Publica,"['Card Game', 'Civilization']",45.0,3,5,10
241,278,Catan Card Game,"['Card Game', 'City Building', 'Territory Building']",90,2,2,10
242,279,The Very Clever Pipe Game,"['Abstract Strategy', 'Card Game']",20,2,4,10
246,283,Advanced Third Reich,"['Wargame', 'World War II']",2480,2,6,12
